person_age,gender,city,urban_type,family_size,dependents,house_ownership,occupation,person_emp_length,income_seasonal,person_income,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,loan_tenor_months,nepra_income_tier,utility_units_per_month,monthly_bill_pkr,bills_paid_ontime_12mo,bills_late_12mo,payment_streak_months,has_mobile_wallet,wallet_provider,mobile_txn_per_month,has_smartphone,peer_defaults,has_guarantor,cb_person_default_on_file,cb_cred_hist_length_years,is_unbanked,loan_status,data_source
40,male,Sialkot,peri_urban,4,0,own,Small shopkeeper,0.5,0,538200,medical_emergency,10311,35.9,0.019,3,lower_middle,310,12236.0,11,1,4,0,None,0,1,2,1,N,2,0,0,synthetic_PK_calibrated
22,female,Rawalpindi,urban,8,1,family_home,Street food vendor,0.7,1,346056,equipment_purchase,129358,29.0,0.374,9,low,159,4288.0,6,6,4,1,EasyPaisa,21,1,4,1,Y,0,1,0,synthetic_PK_calibrated
45,male,Karachi,urban,7,5,rent,Daily wage laborer,9.0,0,267564,livestock,144643,23.0,0.541,18,very_low,111,1553.0,4,8,3,1,JazzCash,25,1,4,1,N,0,1,1,synthetic_PK_calibrated
27,female,Lahore,urban,8,1,rent,Small farmer,0.5,1,331992,home_repair,128684,31.1,0.388,24,lower_middle,314,12394.0,4,8,5,1,NayaPay,24,1,3,0,Y,0,0,1,synthetic_PK_calibrated
46,male,Gujranwala,urban,5,0,rent,Construction worker,0.5,1,498216,equipment_purchase,67623,28.8,0.136,9,low,195,5259.0,6,6,3,1,EasyPaisa,24,1,2,0,N,0,0,1,synthetic_PK_calibrated
47,male,Rahim Yar Khan,rural_adjacent,4,1,rent,Small shopkeeper,1.3,0,621312,equipment_purchase,132659,22.4,0.214,9,lower_middle,182,7184.0,12,0,7,1,JazzCash,34,1,1,0,N,0,1,0,synthetic_PK_calibrated
36,male,Lahore,urban,8,4,rent,Street food vendor,2.1,1,296844,working_capital,75467,19.5,0.254,9,low,100,2697.0,4,8,2,1,SadaPay,7,1,3,0,Y,0,1,0,synthetic_PK_calibrated
25,female,Bahawalpur,rural_adjacent,5,2,family_home,Construction worker,1.6,1,444516,medical_emergency,105689,33.1,0.238,9,low,118,3182.0,4,8,1,0,None,0,1,3,0,Y,3,1,0,synthetic_PK_calibrated
21,female,Bahawalpur,rural_adjacent,4,2,rent,Small farmer,9.2,1,431184,working_capital,64040,29.6,0.149,9,lower_middle,278,10973.0,7,5,6,0,None,0,1,4,0,Y,2,1,0,synthetic_PK_calibrated
37,male,Karachi,urban,2,0,rent,Fruit/veg cart,1.0,0,388080,home_repair,91416,23.5,0.236,12,very_low,63,881.0,5,7,6,0,None,0,0,4,0,N,3,0,0,synthetic_PK_calibrated
40,male,Karachi,urban,6,3,family_home,Motorcycle mechanic,2.7,0,384264,working_capital,41212,33.9,0.107,12,lower_middle,183,7223.0,11,1,6,1,SadaPay,31,0,4,0,N,2,0,0,synthetic_PK_calibrated
51,female,Multan,peri_urban,3,0,rent,Street food vendor,2.7,1,476532,inventory_purchase,61958,27.3,0.13,6,low,153,4126.0,6,6,4,1,SadaPay,23,1,3,0,Y,3,0,1,synthetic_PK_calibrated
44,male,Karachi,urban,2,0,own,Small shopkeeper,2.9,0,616260,livestock,129046,24.8,0.209,6,lower_middle,199,7855.0,8,4,7,0,None,0,0,2,1,N,1,0,1,synthetic_PK_calibrated
