country,account_ownership_pct,account_ownership_female_pct,bank_branches_per_100k,gdp_per_capita_usd,gini_index,labor_force_participation_pct
Afghanistan,9.65382184434304,7.16068414784076,1.87346704130524,413.757894705303,,37.457
Africa Eastern and Southern,,,3.60886323922757,1615.39635562849,,68.8697267968812
Africa Western and Central,,,4.15274485870081,1411.33702938476,,72.2739047935004
Albania,46.069250627042,41.1560488283684,16.8669380697199,11377.7757431099,29.4,64.263
Algeria,35.2901069097173,18.0709885603285,5.26170703017023,5752.99076651465,27.6,40.784
American Samoa,,,,18017.4589383973,,
Andorra,,,,49303.6491674336,,
Angola,29.3181213047365,22.3316464905364,7.15678935069745,2665.87444776753,51.3,74.786
Antigua and Barbuda,,,16.8505100519773,23542.4526945578,,
Arab World,40.21,31.26,10.9657672707171,7583.81170078144,,46.0276858379811
Argentina,81.7442446865007,84.2497432521024,12.3945568033273,13969.7836603737,42.4,61.913
Armenia,71.3734734683257,67.9879799098157,24.6889798974729,8556.21406956719,27.4,59.388
Aruba,,,10.0469976222106,39498.5941293797,,
Australia,98.0103778290099,97.7243209573911,16.8611666005005,64603.9856308464,33.8,66.537
Austria,99.5084974640411,99.1873269882702,11.0097444550081,58268.8787651601,31.2,60.124
Azerbaijan,56.3046655573957,46.1732591791453,6.38905823742048,7283.8499076179,26.6,63.288
"Bahamas, The",,,21.7047441218796,39455.4466548546,,73.775
Bahrain,82.3220521049445,83.0178852537418,14.6200181657927,29653.5682731534,,70.429
Bangladesh,43.2839733431322,33.346000280938,8.80811745545824,2593.41611680774,30.9,58.796
Barbados,,,13.1848127969241,26544.8707282621,34.1,64.685
Belarus,81.1558850462713,81.3381714403097,0.7840065,8317.63399913792,24.4,62.747
Belgium,98.2369093220798,97.9206258791414,21.1406368047824,56614.5679499036,26.8,54.274
Belize,67.9682001512007,65.1819147470622,14.7238442618837,7681.24400583113,39.9,59.1
Benin,51.8432060403598,49.0557470327837,2.90096055617268,1485.38018885134,34.4,76.356
Bermuda,,,,142855.374713782,,
Bhutan,33.6659130127617,27.6818789274225,20.9042534207346,3831.32535494609,28.5,64.82
Bolivia,56.849052664469,53.4638307501513,62.6243371202884,4421.16609889999,40.9,78.626
Bosnia and Herzegovina,77.4588922946912,75.7475848321622,29.1864149840644,9358.78768951134,30.3,48.991
Botswana,61.4384690565565,59.6866154697314,8.16114961923826,7695.75319445165,54.9,68.798
Brazil,86.3811782311541,82.2763902255203,16.0358143159558,10310.5488778166,50.3,63.139
British Virgin Islands,,,,,,
Brunei Darussalam,,,16.2438432933232,33153.4738913513,,64.235
Bulgaria,84.7243949771558,85.0429744458305,92.009391103903,17596.0173663521,39.5,56.115
Burkina Faso,51.4274911911242,43.9890405155106,2.73508485346058,981.992649769081,37.4,70.005
Burundi,7.10575863294663,,3.3334139266028,219.424830882698,37.5,78.255
Cabo Verde,,,29.9150009109455,5192.48157325878,42.4,57.025
Cambodia,39.0314428535,36.7988836964306,14.2824478380884,2627.87969756224,,82.392
Cameroon,60.8737908565624,52.8996933484284,2.15219741957381,1830.00833684727,42.2,65.171
Canada,98.4047126063262,98.7513672334689,19.0208832317058,54340.3477224733,31.5,64.516
Caribbean small states,,,9.30260160084942,19903.8112311908,,59.6304426716801
Cayman Islands,,,,99143.5180243123,,
Central African Republic,13.745946426537,9.71761748965302,0.707527145458147,516.160999996036,43.0,73.389
Central Europe and the Baltics,,,18.3055670107004,24604.8068595604,,57.4065064541135
Chad,20.8983599359361,20.1401531546613,0.845197985403876,961.55975562506,37.4,59.44
Channel Islands,,,,74585.5224096294,,56.356
Chile,85.0691778196127,83.1703645529934,9.48233369010899,16709.8893972307,43.0,62.304
China,89.3830319754266,89.2021200745424,8.77482647698862,13303.1481543868,36.0,64.551
Colombia,57.0594856281374,50.9915484901848,12.8246977245033,7919.20886825345,54.4,63.398
Comoros,45.4593974142566,41.8394427057053,5.01440677639217,1662.75663312504,30.3,55.772
"Congo, Dem. Rep.",39.2140115142227,33.4561427829617,0.674267208638097,649.383338556725,44.7,64.306
"Congo, Rep.",55.5760387811851,50.5916393453064,2.81399044201204,2482.2489948456,48.9,67.825
Costa Rica,71.3527070793642,68.2829497651369,15.8409730759083,18587.1532203482,45.5,57.659
Cote d'Ivoire,57.5676269730853,53.8175498364075,4.19885052219563,2727.8935220697,35.3,67.09
Croatia,92.6404988027313,92.0623021221886,24.7129123005428,24050.4397933135,30.1,52.143
Cuba,,,,9605.27914559614,,52.248
Curacao,,,,22832.8953958667,,
Cyprus,96.1259312935907,98.030865941963,21.122191880026,38674.29296875,31.8,66.961
Czechia,92.2832885462025,89.6799815747657,15.3769756219238,31823.3078290564,25.7,60.341
Denmark,98.6505141065248,98.1098068895589,16.7046973608979,71026.4832271897,29.9,64.935
Djibouti,12.2738820555453,8.76278186838739,9.68509602080912,3552.72335079222,41.6,31.744
Dominica,,,10.1905635381637,10405.2787777582,,
Dominican Republic,64.777963876998,61.4376464055556,10.8411005779187,10875.6618443092,39.0,64.839
Early-demographic dividend,,,11.2679317197443,4450.18711937385,,56.751230446615
East Asia & Pacific,82.85,81.38,12.2162915811807,13405.735673015,,65.1635448092935
East Asia & Pacific (IDA & IBRD countries),,,8.56192772405958,10513.9529323033,,65.1437417769916
East Asia & Pacific (excluding high income),83.3432660109167,83.5134062746718,8.56192772405958,10396.7957405051,,65.3528416692256
Ecuador,64.5052103870577,63.5126837380937,8.83693500364404,6874.705739766,45.9,64.497
"Egypt, Arab Rep.",43.1134368034247,40.2142182329493,6.2135807993164,3338.47371395895,28.5,44.568
El Salvador,43.4036648969414,34.4359210784078,9.2836423060819,5579.65969165029,39.8,62.107
Equatorial Guinea,,,5.7269599064273,6745.40013244916,38.5,60.513
Eritrea,,,,688.68165957684,,78.348
Estonia,98.9011091256392,99.7660187107038,6.55605294143871,31428.3547816104,30.7,65.128
Eswatini,65.1160267166079,65.3509471878412,6.11650411207474,3909.55892378182,54.6,51.191
Ethiopia,48.8302767819942,41.6159713320994,14.4895956917168,1133.88279681719,31.1,68.461
Euro area,98.51,98.31,15.7165946127267,46945.4188234427,,56.9772311078579
Europe & Central Asia,89.57,88.02,19.9623685328424,31555.5207890657,,58.2250799449398
Europe & Central Asia (IDA & IBRD countries),,,22.88304663237,13337.4386956337,,58.053823936264
Europe & Central Asia (excluding high income),77.8490635157756,73.9368697000325,23.9962341650495,9793.69205809432,,56.6041430270223
European Union,,,16.6767314247281,43304.9642561331,,57.2730210707559
Faroe Islands,,,,74119.6607553879,,
Fiji,,,10.2445587081009,6425.74151715712,30.7,57.16
Finland,99.842681813058,99.6891240901934,5.87187072960835,53149.7671934051,27.4,59.681
Fragile and conflict affected situations,,,3.60886323922757,1527.95809514037,,64.227752218811
France,99.1902372350206,99.848494933374,31.2625948869708,46103.0840855884,31.8,55.346
French Polynesia,,,,22439.8838746025,,52.369
Gabon,68.1812562934141,63.7213310835604,9.2888959496073,8230.04311451151,38.0,51.058
"Gambia, The",38.1609042069027,34.8624918566457,5.7155634163744,871.340291776294,38.8,47.457
Georgia,78.8236410959339,81.2949686953077,31.1644730415478,9241.49122313713,33.9,64.312
Germany,98.2983235670699,98.873065264332,6.62223739887102,56103.7323182554,33.7,60.571
Ghana,81.2430252454858,78.3104466801133,4.4378136112736,2390.77237652715,43.5,58.524
Gibraltar,,,,,,
Greece,88.5519759112244,84.0948713682466,15.7165946127267,24626.1481858973,33.4,51.958
Greenland,,,,58498.9707973609,,
Grenada,,,16.6446471854942,11705.0902976658,43.8,
Guam,,,,41833.1517132825,,62.265
Guatemala,38.2819483827324,32.5013354493048,22.8347047495186,6150.02571438505,45.2,59.619
Guinea,36.0480250155865,31.2380546293167,2.8049293877007,1694.95375862193,29.6,52.61
Guinea-Bissau,,,3.33083520692814,1007.74151728028,33.4,64.814
Guyana,,,7.96792045936794,29675.2443873316,45.1,54.987
Haiti,32.6211865335773,30.0456130837357,2.62348360699384,2142.62330526788,41.1,63.93
Heavily indebted poor countries (HIPC),,,3.33212456676547,1216.37508472564,,66.9508127174383
High income,94.9131386570532,94.5176067891809,16.0476457657241,50302.6052129514,,61.0152829631574
Honduras,42.4429707366343,34.0839092123123,15.5835370199606,3426.43483328923,45.7,56.556
"Hong Kong SAR, China",97.3080247282368,96.7510977577504,18.1580591293256,54074.6928519479,,56.356
Hungary,86.9605630769545,83.709713865767,16.6487654885584,23292.3263882478,30.6,60.578
